Tag, Descricao, Modulo, Fase, Grandeza, IdSensor, Frequencia_Amostragem, Timestamp
M1IOCA1, I OPENING COIL A, 1, A, I, 1, 33333.0, 1747944058.3585627

tempos, dados
20.359619140625, 0.113529
20.3896484375, -0.066743
20.419677734375, 0.023393
20.44970703125, 0.071928
20.479736328125, -0.073677
20.509765625, 0.058061
20.53955078125, 0.071928
20.569580078125, -0.122212
20.599609375, 0.078861
20.629638671875, 0.016459
20.65966796875, -0.039009
20.689697265625, -0.004341
20.7197265625, -0.094478
20.749755859375, -0.122212
20.779541015625, -0.011275
20.8095703125, 0.051127
20.839599609375, -0.108345
20.86962890625, -0.066743
20.899658203125, 0.002592
20.9296875, -0.073677
20.959716796875, 0.044194
20.98974609375, 0.009526
21.019775390625, -0.045943
21.049560546875, 0.03726
21.07958984375, 0.064994
21.109619140625, 0.016459
21.1396484375, -0.08061
21.169677734375, -0.094478
21.19970703125, -0.052876
21.229736328125, -0.018208
21.259765625, 0.099662
21.28955078125, 0.009526
21.319580078125, 0.162064
21.349609375, 0.016459
21.379638671875, -0.066743
21.40966796875, -0.011275
21.439697265625, -0.011275
21.4697265625, 0.210599
21.499755859375, -0.039009
21.52978515625, -0.039009
21.5595703125, -0.018208
21.589599609375, 0.002592
21.61962890625, 0.016459
21.649658203125, -0.039009
21.6796875, 0.071928
21.709716796875, 0.030326
21.73974609375, 0.030326
21.769775390625, -0.039009
21.799560546875, 0.002592
21.82958984375, -0.073677
21.859619140625, -0.018208
21.8896484375, 0.162064
21.919677734375, 0.13433
21.94970703125, 0.051127
21.979736328125, 0.064994
22.009765625, 0.058061
22.039794921875, -0.011275
22.069580078125, -0.052876
22.099609375, 0.058061
22.129638671875, 0.078861
22.15966796875, -0.011275
22.189697265625, 0.016459
22.2197265625, 0.113529
22.249755859375, -0.101411
22.27978515625, 0.106596
22.3095703125, 0.078861
22.339599609375, 0.009526
22.36962890625, -0.08061
22.399658203125, -0.032076
22.4296875, 0.071928
22.459716796875, -0.032076
22.48974609375, -0.004341
22.519775390625, -0.073677
22.549560546875, -0.018208
22.57958984375, -0.039009
22.609619140625, -0.011275
22.6396484375, -0.018208
22.669677734375, -0.032076
22.69970703125, 0.141263
22.729736328125, -0.149946
22.759765625, -0.011275
22.789794921875, -0.136079
22.819580078125, -0.094478
22.849609375, -0.039009
22.879638671875, 0.058061
22.90966796875, 0.016459
22.939697265625, 0.058061
22.9697265625, -0.018208
22.999755859375, -0.004341
23.02978515625, -0.018208
23.0595703125, -0.108345
23.089599609375, -0.045943
23.11962890625, -0.025142
23.149658203125, -0.094478
23.1796875, -0.108345
23.209716796875, 0.044194
23.23974609375, -0.018208
23.269775390625, -0.184614
23.2998046875, -0.08061
23.32958984375, -0.108345
23.359619140625, -0.032076
23.3896484375, 0.03726
23.419677734375, 0.016459
23.44970703125, 0.030326
23.479736328125, -0.087544
23.509765625, 0.009526
23.539794921875, 0.03726
23.569580078125, -0.087544
23.599609375, -0.045943
23.629638671875, -0.087544
23.65966796875, -0.004341
23.689697265625, 0.120463
23.7197265625, -0.025142
23.749755859375, -0.115278
23.77978515625, -0.045943
23.8095703125, 0.030326
23.839599609375, 0.016459
23.86962890625, 0.058061
23.899658203125, 0.03726
23.9296875, -0.129145
23.959716796875, 0.030326
23.98974609375, -0.025142
24.019775390625, -0.094478
24.0498046875, -0.045943
24.07958984375, -0.094478
24.109619140625, -0.05981
24.1396484375, 0.002592
24.169677734375, 0.016459
24.19970703125, -0.08061
24.229736328125, -0.101411
24.259765625, 0.189798
24.289794921875, 0.009526
24.319580078125, -0.045943
24.349609375, -0.004341
24.379638671875, 0.092728
24.40966796875, -0.073677
24.439697265625, 0.058061
24.4697265625, -0.004341
24.499755859375, 0.044194
24.52978515625, -0.108345
24.559814453125, -0.087544
24.589599609375, 0.03726
24.61962890625, 0.044194
24.649658203125, 0.092728
24.6796875, -0.052876
24.709716796875, 0.120463
24.73974609375, -0.032076
24.769775390625, 0.03726
24.7998046875, -0.05981
24.82958984375, 0.03726
24.859619140625, -0.025142
24.8896484375, -0.052876
24.919677734375, 0.03726
24.94970703125, -0.108345
24.979736328125, 0.064994
25.009765625, -0.032076
25.039794921875, 0.085795
25.06982421875, -0.108345
25.099609375, -0.025142
25.129638671875, -0.101411
25.15966796875, 0.085795
25.189697265625, -0.018208
25.2197265625, -0.08061
25.249755859375, 0.03726
25.27978515625, -0.045943
25.309814453125, 0.13433
25.339599609375, 0.030326
25.36962890625, -0.018208
25.399658203125, -0.094478
25.4296875, -0.05981
25.459716796875, -0.15688
25.48974609375, 0.078861
25.519775390625, 0.127396
25.5498046875, -0.025142
25.57958984375, 0.085795
25.609619140625, 0.016459
25.6396484375, -0.032076
25.669677734375, 0.127396
25.69970703125, -0.011275
25.729736328125, 0.016459
25.759765625, -0.101411
25.789794921875, -0.129145
25.81982421875, -0.032076
25.849609375, 0.078861
25.879638671875, 0.071928
25.90966796875, 0.078861
25.939697265625, -0.045943
25.9697265625, -0.05981
25.999755859375, -0.025142
26.02978515625, 0.058061
26.059814453125, 0.099662
26.089599609375, 0.106596
26.11962890625, 0.085795
26.149658203125, -0.039009
26.1796875, -0.018208
26.209716796875, 0.064994
26.23974609375, 0.051127
26.269775390625, 0.016459
26.2998046875, 0.071928
26.329833984375, -0.052876
26.359619140625, -0.129145
26.3896484375, -0.08061
26.419677734375, -0.039009
26.44970703125, -0.025142
26.479736328125, 0.058061
26.509765625, -0.08061
26.539794921875, 0.189798
26.56982421875, 0.044194
26.599609375, 0.030326
